电影名称,导演,演员,类型,简介,上映时间,头图
蓝色夜未眠,杨同坤,陈婧霏,剧情,《蓝色夜未眠》中，深夜丢失了酒店房卡的女孩在岛屿上漫步，她似乎听到某种虚实难辨的声音，声音引导着她。经历了一个荒诞、怪趣又不乏温暖、治愈的未眠之夜，她渐渐分不清这是梦中的他们，还是，镜中的自己？,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902824399.jpg
没有女人的男人,常标,,,"90年生的新锐导演常标，编剧摄影导演的电影项目《森林》获得第二届平遥国际电影展WIP“又见平遥”荣誉，剧本《南方旅店》入围2020HAF香港亚洲电影投资会。
                                    
                                　　《没有女人的男人》中，每一个场景似乎都带令人不安的秘密，神秘力量在支配着所有人，红色的野兽在城市出现。",2025,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
欢迎再来,白嵩,白玉州 白光辉,纪录片 短片,一场因保姆离开，而衍生的家庭问题。人到暮年，生活中的影子匆匆闪过，一生的分分合合，来去匆匆，满怀期盼却惊鸿一场。,2025,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2902817107.jpg
挚爱,程青松,谢予望 汪飏 唐书培 桑正浩,剧情,关于寻找、自我认同、秘密与谎言。在电影的各个位置都行走探寻的程青松，这次用导演的眼睛，贴近遇见的他们。这是一部“当代”的电影，每位演员都跟角色同名同职业，以自己亲身经历来诠释导演虚构的故事。他们有各自苦痛，又选择彼此临时栖身。他们相逢在人生的旅途，却有各自的方向。,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902791568.jpg
成长记录：家庭，婚姻和我们,杨雅清,郑艺涵 肖舒元 尚瑞娜 冯玉环,,几位来自不同地区的女孩子们在西安读书已经很多年了，山东省的小堵，浙江省的艺涵，陕西省的舒元和玉环。一次闲聊中，大家知晓了年仅21岁的小堵已被父母安排相亲，随着聊天的深入，彼此都知晓了对方家庭深处的疼痛，从母亲到家庭结构，她们为之落泪，迷茫与清醒共同占领着内心挣扎，这些女孩子，是否能代表大多数的我们…,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902788069.jpg
小洞天,王柯静,江奇霖 沈诗雨 龙泽治 牟睿妮,,毕业后的江超回到南方小城应聘老师，与做导游的姐姐江维、驾校教练姐夫张启一家人一起生活。江超因替张启顶班而与学车女孩周原熟识，两人借练车之便一起寻找与烂柯山有关的记忆。江维因参加导游比赛与张启产生了隔阂，烂柯山“山中一日，世间千年”的传说在比赛中也以另一种形式在他们身上重演。在四人各自探索传说的途中，小城的景观变得奇妙。,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911749189.jpg
地下一小时,汪迪,秦孜翔 François Paul Louis Dubois 段羽泉 章梓琪,剧情 纪录片,在密闭空间的地下，行人匆匆，他们在此驻足，故事发生在仅有自我相处的私人时间。,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2903260530.jpg
洗头记,康世伟,康世伟 康宋道一,纪录片,这部电影讲述了新冠疫情期间一位被困家中的父亲（导演本人）为改善与儿子的关系，主动为儿子洗澡洗头的故事。3岁儿子有“俄狄浦斯情结”情结，对母亲过于依恋，而对父亲莫名抗拒，致使父亲有些嫉妒。疫情为他们提供了一个修复亲情的机会。在日常的琐碎中，偶尔的争吵、短暂的分离、给儿子吃药、带儿子做核酸检测等生活细节，两人的关系变得逐渐牢固。与此同时，这位具有深厚中国传统观念的父亲慢慢意识到在教育儿子方面的缺陷。如男性沙文主义的面子观，将儿子视为自己虚荣心的表现，偶尔的情绪爆发，都使他在家庭伦理及自我成长的反思中深刻觉醒。,2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2909892064.jpg
一席之地,王晓凡 Neko Wang,,纪录片,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2918495360.jpg
解密兵马俑：50年史诗旅程,,,纪录片,1974年，陕西省临潼县秦始皇陵东侧发现陶俑坑。兵马俑发现50周年之际，纪录片《解密兵马俑：50年史诗旅程》将借助前沿科技，重现古老文明的赫赫荣光，描绘2200年前的社会图景。,2025,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2902649575.jpg
解决专家,张敏,黄才伦 林子聪 邱意浓 许诗晨 王人可 李嘉 岳冬峰 阿蒂娅 文东俊 刘竹 解斯童 丁丁,剧情 爱情 犯罪,衣然英俊从师傅手中接过解决专家的衣钵，就接到罗师父的紧急求助，前往营救他陷入骗局的妹妹。两人历经险阻，终于脱险。一场险象环生却又啼笑皆非的营救，让衣然英俊不仅收获了爱情，也揭穿了“选美比赛”的骗局。,2026,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902417548.jpg
小圆同学,,,爱情 科幻,林遇安收到来自过去时空的信，寄信者正是当年为保护自己而牺牲的陈涯白。二人开启跨时空对话，林遇安尝试引导陈涯白远离自己，改变其命运。可当灾难降临，陈涯白再次献身。命运轮转林遇安终于读懂少年深藏的爱意,2025,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
云梦,郑现太,王姬 单思杰 单宝中 张星瑶,剧情,以文物保护为题材，以云梦地域为背景，讲述着父子两代守护珍贵文物的传奇故事，以影视化手法将云梦悠久历史与厚重文化展现在世人面前。,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902203318.jpg
龙鳞行,凤林,圣伊龙,剧情 动作 悬疑,梗概：主人公龙鳞因一次失误，导致女友凯妮在野外徒步穿越时遇险，从此一蹶不振。女友母亲原谅他后。重新振作的龙鳞，决定重走之前路线，告慰缅怀女友。面对重重困难与危险，龙鳞不再畏惧，通过实际行动找到新的人生方向。,2025,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2918666442.jpg
春潮儿,Lufus,李一凡 姜寒 汪宇峥 陈高安娜 陈允舒 王逸飞,,"2023年初，我着手拍摄自己的第一部纪录长片。它缘起于我与李八子的相识，因为他，我才有机会接触、了解国内酷儿场景的存在，并有缘以记录者的身份参与其中。
                                    
                                　　近一年的拍摄过程，让我不仅仅以观察者的视角进入到片中六位主人公的生活，更幸运地和他们成为朋友。这部长片是我作为朋友的一次尝试——他们足够信任我，将自己的人生故事不加删减地和盘托出，给了我把故事变为作品的可能。我想用这条长达八分钟的视频，宣告这部长片的诞生，宣布他们的存在。
                                    
                                　　他们的生活已足够精彩，我只希望能不辜负朋友们的信任，准确地还原出他们的故事。
                                    
                                　　生着，活着，存在着，选择去成为春天的弄潮。《春潮儿》2024，敬请期待。",2025,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
一箭之地,刘雅风,,动作 战争 冒险,民国纷争年间，民间爱国组织“神箭门”沿途伏击汉奸“孙大帅”的事件。着重刻画了神箭门成员张弦与孙大帅的手下秦疾两人，在各自不同的立场之下，以弓箭对决，相互斗智斗勇的一段惊心动魄的故事。,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902148319.jpg
2024江苏卫视龙年春节联欢晚会,,阿云嘎 蔡国庆 大张伟 贾冰 希林娜依·高 刘宇 何赛飞 蓝盈莹 周传雄 周延,真人秀,龙年贺岁，鸿运当头！今年春晚以“共情、共鸣、共享、共庆”为关键词打造极为温暖，具有文艺烟火气的“苏式春晚”！,2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2917829984.jpg
龙从中国来,王璐,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2024,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
首演,张路遥 武康,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2024,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
造梦,江承超,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2024,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
这就是我的生活,刘飞芳,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2024,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
节奏之魂,于恩健,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2025,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
离开玉门,王祚,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2024,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
盘中餐寻古,乔纳森·舒茨 张昱程,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2024,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
生理曲线,王浩冉 王一冉,,短片,"Scoliosis has become the status quo for some Chinese students. Yang Yang, a male student at a technical school in a Chinese county, suffers from scoliosis. She loves opera dance and take dance lessons in secret, her female gender awareness awakens and she wants to be a real girl.",2024,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
生根在彼岸,史馨 张同道,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2024,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
游民公社,蓝庸,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2024,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
水墨中国,佩皮·罗马尼奥利 Pepi Romagnoli,,,"“Ink in China” is a journey-reportage into China's art world that compares the different modes of artistic expression with regards to India Ink: on the one hand China with her millennia old calligraphic traditions and on the other, the West and its more figurative manners of expression.
                                    
                                　　源自：https://www.michelangelofilm.it/en/projects-2/",2025,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
李力持的无厘头人生,吴钦,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2024,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
最后的城市马帮,李亢 Colin Lee,,,https://mp.weixin.qq.com/s/sJghoL2YyWpHr8Qo4-jTtw,2025,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
扎坝,廖永涛,,纪录片,"远在甘孜藏族自治州的扎坝大峡谷里，有一个特殊的部落至今仍遗留着母系社会的走婚制度。男不娶，女不嫁，暮聚朝离，当地称之为“爬房子”。然而水电站的修建使该峡谷的大部分村落在14年左右便开始动迁，原有的传统也随着“三通”而逐渐有所动摇。
                                    
                                　　提案入围第二十届中国（广州）国际纪录片节“中国故事”国际提案大会复评名单。",2025,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2908333697.jpg
手艺之路,杨曼曼,,纪录片,"见微知著、格物致知。《手艺之路》记录传统工艺的传承及创新应用，深挖其承载的民族造物智慧和民族文化符号。由非遗工艺、非遗作品和传承人的故事入手，挖掘其承载和蕴含的传统文化中精神的、心性的、情感的甚至哲学的种种软性的构成，探讨其如何成为涵养我们这个民族发展的内在动力，剖析非遗工艺乃至传统文化的核心价值。纪录片共8集，每集分别讲述传统木作、珐琅、雕漆、彝族毛纺织、四项传统非遗技，拟拍摄地包括北京、苏州、上海、福州、大凉山等地，记录人包括传承人、工艺美术大师，同时邀请专家学者提供策划支持或出镜讲解。
                                        
                                    　　第1集 心物相照·明式家具（上）
                                        
                                    　　第2集 心物相照·明式家具（下）
                                        
                                    　　第3集 奢侈的蓝·珐琅（上）
                                        
                                    　　第4集 奢侈的蓝·珐琅（下）
                                        
                                    　　第5集 光阴的故事·漆艺 （上）
                                        
                                    　　第6集 光阴的故事·漆艺（下）
                                        
                                    　　第7集 一个彝人的梦想·彝族毛纺织（上）
                                        
                                    　　第8集 彝人的梦想·彝族毛...
                            
(展开全部)",2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918890034.jpg
