电影名称,类型,导演,演员,上映时间,简介,头图
新·奥特曼,科幻,樋口真嗣,津田健次郎 斋藤工 长泽雅美 西岛秀俊,2022-05-13,接二连三出现的巨大不明生物“祸威兽”，其存在成为了日本的日常。通常兵器对其完全不起作用。迎来极限的日本政府集结了祸威兽对策专家设立了“ 祸威兽 特设 对策室专属班”（通称“祸特对”）。班长田村君男 （ 西岛秀俊 饰）、作战立案担当官神永新二 （ 斋藤工 饰）、非粒子物理学家泷明久 （ 有冈大贵 饰）、泛用生物学家船缘由美 （ 早见明里 饰）被选定，负责执行任务。在祸威兽危机迫近之际，突然从大气圈外出现的银色巨人。祸特对中，针对巨人对策的分析官浅见弘子 （ 长泽雅美 饰）被重新分配，和神永组成 搭档。浅见的报告书上写的是——“奥特曼” 。,https://p0.pipi.cn/mmdb/25bfd69ac7e51baf33e7aa357b4d497b6145d.jpg?imageView2/1/w/464/h/644
草木人间,剧情 犯罪,顾晓刚,吴磊 蒋勤勤 陈建斌 王佳佳,2024-04-03,父亲离家失联十年后，儿子目莲（吴磊 饰）为寻找他只身来到杭州求学；为照顾即将大学毕业的儿子，母亲苔花（蒋勤勤 饰）来到杭州采茶谋生。原本平静的日子因为苔花与采茶东家(陈建斌 饰)的情感变故渐起波澜，苔花被骗入传销组织“蝴蝶国际”，摇身一变，从衣着打扮到言行举止都宛如“新生”，疯癫的举动让目莲感到诧异。目莲想尽一切办法奋力解救，风波看似平息，母子却陷入了更绝望的境地……这座人间炼狱究竟该怎样逃脱？现代版“目连救母”能否成功？,https://p0.pipi.cn/mmdb/54ecdedd71f2ff923507ac36594665eccfd96.jpg?imageView2/1/w/464/h/644
古宅谜案,惊悚 恐怖,高健,贡米 郭秋成 刘家麟 黑妹,2024-11-15,月黑风高，古宅之夜，白衣鬼魅诛杀满桌男女老幼，尖叫连连，血流满地，惨不忍睹！是死去怨灵的还魂复仇？还是来自人间的情感纠葛？故人重返古宅，诡异事件频发，魅影时而飘过古宅郎亭角落，令人胆战心惊！,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3343db784a114dc6e387b7b7ff4155cc62.jpg?imageView2/1/w/464/h/644
不留遗憾,,未公布,,,举目无亲的江语希因身患癌症而逃离和爱人的婚礼。多年以后，爱人知晓实情，了解了她的苦衷。最终，在爱人和好友的帮助下，江语希不留遗憾地离开了人世。,https://p0.pipi.cn/mmdb/d2dad5927a32ffe5bcd7c343876f888e6f639.jpg?imageView2/1/w/464/h/644
魔法森林小精灵,动作 剧情,陈铭艺,陈楚红 陈铭艺,2024-12-25,无意中解开封印的三叶虫王，意图重新统治世界，带领部下魔琥在魔法森林里兴风作浪。森林里以阿拉法为首的一群正义的精灵们，为了守护森林的守护世界的和平，与三叶虫王展开了一场殊死之战。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c14ea40513e796b1b93bb7d911ebd5c7.png?imageView2/1/w/464/h/644
不留遗憾,,未公布,,,举目无亲的江语希因身患癌症而逃离和爱人的婚礼。多年以后，爱人知晓实情，了解了她的苦衷。最终，在爱人和好友的帮助下，江语希不留遗憾地离开了人世。,https://p0.pipi.cn/mmdb/d2dad5927a32ffe5bcd7c343876f888e6f639.jpg?imageView2/1/w/464/h/644
老千2：神之手,剧情 犯罪,姜炯哲,金吝劝 崔胜铉 申世京 高素熙,2014-09-03,因在老家伤人而跑路的咸大吉（崔胜铉 饰），来到江南道投奔相熟的查理哥。经查理引荐，大吉在开设赌场的高章社长那里谋得一份差使。大吉凭借天赋般的老千技巧、帅气的容貌和伶俐的口才，很快成为高社长最为器重的手下。在此期间，他结识了美艳妇人于智妍（李荷妮 饰），却因帮助智妍摆脱高社长设下的陷阱而把自己置身凶险之地。不久他重逢跟随牌友张东植而来的初恋女孩许美娜（申世京 饰），结果在那场赌局中遭遇了人生最惨痛的败局。从天上跌落谷底的大吉，经美娜帮助他离开了暗潮汹涌的江南道，并在途中遇见隐姓埋名的老千高手（柳海真 饰）。 决心复仇的大吉向高手拜师，他用生命孤注一掷……,https://p0.pipi.cn/basicdata/54ecded78078d33ba35bf1a33b89c06dc11e8.jpg?imageView2/1/w/464/h/644
怪物史莱克 4D,喜剧 动画 短片 家庭,西蒙·J·史密斯,麦克·梅尔斯 埃迪·墨菲 卡梅隆·迪亚兹 约翰·利思戈,2003-05-23,阳光明媚的一天，史瑞克（麦克·梅尔斯 配音）和菲奥娜（卡梅隆·迪亚茨 配音）正在进行他们的蜜月旅行。在某个未知的叉路口，迷失方向的史瑞克和驴子（艾迪·墨菲 配音）正对着一张地图争论，菲奥娜则被洋葱头做成的马车熏得直流眼泪。稀里糊涂的史瑞克找到一条荆棘丛生的险路，可是特洛尼斯突然出现劫走了菲奥娜。为了营救新婚妻子，史瑞克与驴子一路追踪，来到了一座阴森恐怖的墓园。在这里，他们竟然遭遇了法尔奎德（约翰·利特高 配音）的鬼魂。一场生死两界的爱之争夺战由此展开……,https://p0.pipi.cn/mmdb/d2dad592b127e17df5d23c7c29f0509a64cbf.jpg?imageView2/1/w/464/h/644
康熙与路易十四,纪录片,鲍永红,,2024-05-23,中法合拍纪录电影《康熙与路易十四》，讲述三百多年前中国皇帝康熙与法国国王路易十四展开积极互动，书写了一段东西方两大文明交流互鉴的佳话。本片为庆祝 2024 年中法建交 60 周年而作。,https://p0.pipi.cn/mmdb/54ecde870fa338230f67cb8b22c5e9b30c972.jpg?imageView2/1/w/464/h/644
金陵十三钗,剧情 战争 历史,张艺谋,克里斯蒂安·贝尔 倪妮 张歆怡 黄天元,2011-12-15,1937年，日军入侵南京，战火中，六朝古都化为废墟，众多中国军民被困城中。一支十数人的国军德械教导队余部在长官李教官（ 佟大为 饰）指挥下，从日军手中救出了一批教会学校女学生，而李教官等人，至此丧失了出城的机会。幸免于难的书娟（ 张歆怡 饰）等学生返回文彻斯特教堂，随她们一起来到的，还有受雇远道至此收殓神父遗体的美国人约翰·米勒（ 克里斯蒂安·贝尔 饰）。此时的南京城中，逃难的人们蜂拥进安全区和教堂寻找庇护，十四名风尘女子强行进入教堂避难，其中精通英语的玉墨（ 倪妮 饰）希望借助约翰的身份为一行人提供更多保护。教堂的墙壁，并不能阻挡日军的铁蹄，教堂内的人们，将面临孰生孰死的选择。,https://p0.pipi.cn/mmdb/d2dad592c7e7e1537c39dd20a6b85ebedfb47.jpg?imageView2/1/w/464/h/644
神奇动物：格林德沃之罪,冒险 奇幻 家庭,大卫·叶茨,埃迪·雷德梅恩 凯瑟琳·沃特森 艾莉森·苏朵儿 约翰尼·德普,2018-11-16,故事发生在1927年，纽特揭露黑巫师 盖勒特·格林德沃 （ 约翰尼·德普 饰）真面目之后的几个月，舞台从纽约移到伦敦，然后再到巴黎。巫师世界越来越黑暗，逃亡中的格林德沃麾下招来了更多追随者，再次掀起风浪 。能阻止他的可能就是他曾经最亲密的兄弟 阿不思·邓布利多 （ 裘德·洛 饰），而邓布利多也需要他的学生纽特 （埃迪·雷德梅恩饰）的帮助。最终邓布利多和纽特联手一起对付格林德沃 。,https://p0.pipi.cn/mmdb/d2dad59206de7a281ef2aa806e1b546712c20.jpg?imageView2/1/w/464/h/644
火影忍者剧场版：大激突！幻之地底遗迹,剧情 喜剧 动画 奇幻,川﨑博嗣,竹内顺子 森久保祥太郎 中村千绘,2005-08-06,火之国木叶忍者村的漩涡鸣人，和伙伴 春野樱和奈良鹿丸这次的任务是找寻走失的 雪貂，不料却在任务完成途中，意外地遭到神秘少年骑士率领的部队袭击，在激烈的战斗中，漩涡鸣人和奈良鹿丸、春野樱走散了。漩涡鸣人在与对方交战时，不慎和神秘骑士一起坠落至悬崖，他们被具有重要身份的商队救醒，然后成了朋友。而在被留下的奈良鹿丸眼前突然出现了巨大的移动要塞，奈良鹿丸潜入要塞内，然而，却目击到恐怖的情景格雷尔之石蕴含强大的神秘力量，一切皆因这封印之石而起。在找寻雪貂中被媞姆西袭击，后来双双掉下山谷，被商旅所救。其后媞姆西带鸣人接触海德，后来与媞姆西进入格雷尔矿脉，并与海德战斗。(使用招式：影分身术，鸣人连弹，螺旋丸)在找寻雪貂中被媞姆西袭击，后来寻找鸣人期间与奈良鹿丸看见移动要塞，其后与海德手下的女骑士 风外决战，用回音击败风外。在找寻雪貂中被媞姆西袭击，后来寻找漩涡鸣人期间与春野樱看见移动要塞，其后与海德手下的女骑士 卡米拉决战，与勘九郎联手击败卡米拉。(使用招式： 影子模仿术， 影子束缚术和 影子绞首术)为防止海德进攻风之国，与海德手下的女骑士 兰克战斗，其后以砂雷针和砂瀑大葬杀死兰克。(使用招式：砂之盾，砂之铠，砂瀑时雨，砂瀑大葬和砂雷针)在与海德手下的女骑士卡米拉战斗期间与奈良鹿丸联手以人偶机关杀死卡米拉。(使用招式：人偶机关术和傀儡替换术)战乱中幸存的孩子，被海德所救，然后被植入格雷尔之石。海德在格雷尔矿脉告诉媞姆西自己就是杀死媞姆西父母的仇人，然后海德取出媞姆西的格雷尔之石，欲杀死媞姆西。后来媞姆西与漩涡鸣人联手击倒海德。后来以开放时空之穴吸走解封的格雷尔矿脉。杀死媞姆西父母的仇人，看似和善可亲，实则内心狠毒，其右手植入了格雷尔之石，被漩涡鸣人以螺旋丸杀死。(使用招式：格雷尔之石和身体异变)海德手下三位女性骑士之一，穿着青绿色骑士盔甲，可以通过格雷尔之石变为蝙蝠兽人形态，擅长空中飞行作战，被鹿丸和勘九郎联手关入黑蚁以刀刃切割杀死。海德手下三位女性骑士之一，穿着紫色骑士盔甲，可以通过格雷尔之石变为猿人形态，可以操控雷电，被我爱罗以沙瀑大葬活埋杀死。,https://p0.pipi.cn/basicdata/54ecde2fc69be1be12f2aa664b221342d8ea1.jpg?imageView2/1/w/464/h/644
苍山,剧情,张帆,郭柯宇 王诗云 陈嘉阳 刘桂红,2025-03-04,影片讲述与丈夫分居多年的小妹，逃避过往，远离故乡苍山，在上海做着家政工作的同时，还照顾着老年痴呆的母亲和早恋叛逆的儿子。当她经历了异乡生活的艰难种种后，选择重新回到故乡苍山，这时她却发现故乡已改了名字。这是一段祖孙三人在异乡的生存故事，也是一趟追寻心灵自由的艰难旅程，寄托着对家乡文化的深沉眷念。,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa334fc4a10511faed7e4013394c5faf98d2.jpg?imageView2/1/w/464/h/644
外太空的莫扎特,奇幻 喜剧 家庭,陈思诚,黄渤 荣梓杉 莫扎特 姚晨,2022-07-15,任大望（ 黄渤 饰）一心想把喜好天文的儿子 任小天（ 荣梓杉 饰）培养成钢琴演奏家，为此父子争吵不断。一天，神秘外星人莫扎特意外出现，从此，莫扎特帮助任小天开启了和爸爸“斗智斗勇”的生活。令任小天没有想到的是，莫扎特来到地球竟另有任务。,https://p0.pipi.cn/mmdb/fb7386028ea51bb8600faf93152545d6b5d48.jpg?imageView2/1/w/464/h/644
碟中谍6：全面瓦解,动作 惊悚 冒险,克里斯托夫·迈考利,汤姆·克鲁斯 亨利·卡维尔 文·瑞姆斯 西蒙·佩吉,2018-08-31,伊森·亨特 （ 汤姆·克鲁斯 饰）和队友们接到了追回三个大杀伤性核武器的任务。眼见任务马上就能完成，但为了挽救其中一位队友卢瑟·斯蒂克尔 （ 文·瑞姆斯 饰）的生命，三个核武器被人趁机带走。中情局负责人艾丽卡·斯隆 （ 安吉拉·贝塞特 饰）调来她手下的得意猛将奥古斯特·沃克 （ 亨利·卡维尔 饰），让他盯着伊森·亨特完成追回核武器的任务。期间，女特工伊莎·浮士德 （丽贝卡 ·弗格森饰）突然出现，伊森·亨特发现，他要面对的并不只是恐怖分子，还有潜藏在政府部门的内鬼 。,https://p0.pipi.cn/mmdb/d2dad5927e10fa2ff75015ae1de221b7dc328.jpg?imageView2/1/w/464/h/644
名侦探柯南：世纪末的魔术师,喜剧 动画 悬疑 犯罪,山本泰一郎,高山南 山口胜平 山崎和佳奈,1999-04-17,罗曼诺夫王朝的皇室秘宝－回忆彩蛋，将在大阪铃木财团美术馆内展出的同时，怪盗基德寄出“犯案预告信”准备夺取这无价的皇家艺术之宝，于是铃木会长要求小五郎协助警方侦查，以防彩蛋被窃取。柯南一行人来到大阪，遇到服部平次，便一同侦查此案。在美术馆遇到了苏联大使馆的书记、珠宝美术商、罗曼诺夫王朝研究家、职业摄影师等人。看完彩蛋，大家便解读预告信线索，不料将时间、地点都解读错误。而基德窃听到彩蛋被转移了。在疏於防备的情况下，基德成功地找到了回忆彩蛋。虽然柯南已经发现了基德的行动，看还是晚了一步。基德在逃离途中，却被神秘的杀手狙击，坠海失踪，生死不明。 柯南以新型滑板追踪，夺回彩蛋。与此同时从国外回来的香阪夏美小姐，从祖母的遗物中发现彩蛋的原稿图与实物不同。柯南看了原稿后，认为彩蛋有两颗，而在彩蛋的玻璃上映照出夏美曾祖父所盖的城堡，所以大家，包括对彩蛋虎视眈眈的研究者决议要去此城探索 ，找寻第二颗彩蛋。在返回东京的船上，摄影师寒川被杀，而且和基德相同是被击中右眼。目暮带着白鸟赶到，调查后柯南发现凶手可能是职业杀手史考兵。而白鸟却几次揭穿柯南的提示，使小兰对柯南的身份起了怀疑。到达东京后，大家前往城堡，阿笠博士为了送做给柯南强化的眼镜，与灰原哀 也一同出发至城堡，不料少年侦探团也藏身在车上跟踪而行。在城堡中，柯南意外发现通往地下室的通道，在秘道中珠宝商乾被杀。而其他人在一个棺木中发现了第二个蛋，并明白了回忆之卵的真正含义。但专门狙击人右眼的神秘杀手“史考兵”也在人群之中。他再次行动，目标是小五郎和小兰，刺杀失败后凶手抢走了彩蛋，并想烧毁城堡。柯南追赶凶手，在熊熊大火中，凶手露出了她的真面目。柯南在白鸟的帮助下逃出了火海。回家后小兰对柯南的真实身份再次起了疑问，正当柯南要说出真相时，新一出现了。,https://p0.pipi.cn/mmdb/d2dad592b1292387a9c9fd14dac3400fcce49.jpg?imageView2/1/w/464/h/644
金刚川,战争 剧情 历史,管虎,张译 吴京 李九霄,2020-10-23,1953年，抗美援朝战争进入最终阶段，志愿军战士要在第一时间赶往金城参加最后一场大型战役，如果没能及时赶到，对战况的影响可想而知。志愿军战士们要通过一条名为金刚川的川流，才能继续赶往金城。志愿军工兵连修建了一条木桥，可供战士们通过。但是，美军也知道只要阻止志愿军通过金刚川，自己就能在金城大战中有更大的优势，于是配备着榴弹炮、延时炸弹、燃烧弹以及多发子弹的轰炸机、战斗机不断轰炸木桥与志愿军战士们，而让美军惊讶的是，每次把桥炸烂，志愿军战士们都能在短短几个小时内重新修复木桥 。,https://p0.pipi.cn/mmdb/d2dad5927a3be121f0338f4b3dd0bcafec4f3.jpg?imageView2/1/w/464/h/644
BLACKPINK世界巡演：天生粉红 大电影,纪录片 音乐,未公布,金智秀 金珍妮 朴彩英 Lisa,2024-07-31,BLACKPINK风靡全球的BORN PINK巡回演唱会登上大银幕，庆祝组合出道8周年！ 　　吸引了180万观众，并打破了女性团体巡回演唱会的全球纪录，体验全球电影院现场表演的活力！ 　　这部电影以标志性的“韩屋”布景为特色，吸引了全世界的歌迷和媒体，展现了前所未有的制作规模，呈现了BLACKPINK在本次演唱会上独有的热门歌曲的独家编曲版本，包括首尔Gocheok Dome的表演以及来自全球巡演其他城市的镜头。 　　加入我们，享受所有令人振奋的时刻，在110多个国家/地区首映，标志着有史以来最大的女性团体全球电影活动发布。在特殊格式ScreenX、4DX和ULTRA 4DX中体验更多！ 　　BLACKPINK世界巡回演唱会[BORN PINK]将于7月31日起限时放映，再次上演历史上票房最高的亚洲艺人巡回演唱会和女团巡演。,https://p0.pipi.cn/basicdata/54ecde2f06d8d3f2aa21f05bb5df3034962f5.jpg?imageView2/1/w/464/h/644
恋爱的犀牛,,孟京辉,郭涛 吴越 李乃文 杨婷,1999,女孩明明（吴越 饰）在年轻人马路（郭涛 饰）面前出现的一瞬间，马路的生活彻底改变了。明明有着不可思议的铁石心肠，无论是鲜花、誓言、还是肉体的亲昵都不能改变，马路求助于恋爱指导员（靳志刚 饰），结果只能让他陷于更深的绝望。在一个犀牛嚎叫的夜晚，马路以爱情的名义将明明绑架……,https://p0.pipi.cn/mmdb/d2dad5920307e1339e92579dc33d2ea8e3a6c.jpg?imageView2/1/w/464/h/644
长沙夜生活,剧情 爱情,张冀,尹昉 张婧仪 张艺兴 苏岩,2023-04-28,故事发生在长沙的一个奇妙的夜晚。夜猫子景为为（尹昉 饰）在书店邂逅了明早将要离开故乡的何西西（张婧仪 饰），俩人相约搭伙夜游。何西西聊起同父异母的哥哥，脱口秀演员何岸（张艺兴 饰），就在今晚的演出上，何岸的父亲（罗钢 饰）出现在观众席中，俩人不欢而散。另一边，陈清智（白宇帆 饰）、梁宝琦（周思羽 饰）、老谢（吴军 饰）守护着摩天轮，他们边欣赏夜景，边感叹打工不易。夜更深了，这一晚也是网红大排档老板娘丽姐（苏岩 饰）最后一次掌勺做粉，她决定让自己的徒弟旭哥（吴昊宸 饰）接手继续经营大排档。夜晚即将过去，一群人一起坐在大排档里嗦粉，邂逅、热爱、留下、离开、和解、团圆，都发生在这座城市里，每个人都找到了深爱这里的理由。,https://p0.pipi.cn/mmdb/fb73860211e3385bf150c88e55c3e27003ef4.jpg?imageView2/1/w/464/h/644
摔跤吧！爸爸,喜剧 动作 传记 剧情,涅提·蒂瓦里,阿米尔·汗 沙克希·坦沃 法缇玛·萨那·纱卡 阿帕尔夏克提·库拉那,2017-05-05,马哈维亚·辛格·珀尕 （ 阿米尔·汗 饰）曾是印度国家摔跤冠军，因生活所迫放弃摔跤。他希望让儿子可以帮他完成梦想——赢得世界级金牌。结果生了四个女儿本以为梦想就此破碎的辛格却意外发现女儿身上的惊人天赋，看到冠军希望的他决定不能让女儿的天赋浪费，像其他女孩一样只能洗衣做饭过一生 ，再三考虑之后，与妻子约定一年时间按照摔跤手的标准训练两个女儿：换掉裙子 、剪掉了长发，让她们练习摔跤，并赢得一个又一个冠军，最终赢来了成为榜样激励千千万万女性的机会 。,https://p0.pipi.cn/mmdb/d2dad592e7a0e1537c3139c28ec3b5def86ae.jpg?imageView2/1/w/464/h/644
扫毒2天地对决,剧情 动作 悬疑 犯罪,邱礼涛,刘德华 古天乐 苗侨伟 林嘉欣,2019-07-05,毒品市场维持四分天下的格局已久，自从地藏 （ 古天乐 饰）与墨西哥大毒枭合作扩张势力，策划一连串黑吃黑事件企图“毒霸”香港毒品市场，警员林正风 （ 苗侨伟 饰）便带着他的扫毒行动组全力追缉毒贩。而儿时亲眼目睹父亲被毒品所毁而嫉毒如仇的慈善家兼金融巨子余顺天 （ 刘德华 饰），悬赏一亿追杀香港最大毒贩，此举在社会上引起轩然大波。原来，余顺天和地藏有着不可告人的同门关系，一场天地对决一触即发。在二十年的同门情谊面前，兄弟二人又将如何面对这场“毒局”。与此同时，林正风妻子、同事在执行缉毒任务时被吸毒者和毒贩残忍杀害，背负着丧妻之痛的他也将与毒贩们展开殊死对决 。,https://p0.pipi.cn/mmdb/d2dad5925372ff338f0faf63f03387cb154d7.jpg?imageView2/1/w/464/h/644
森林飞侠,动画 冒险,张国超,露西 段艺璇 赵成晨 许凯,2024-09-15,小恐龙的宁静生活骤起波澜，当身世之谜如迷雾般笼罩，它毅然踏上寻亲征途。途中，奇遇连连，新友相伴，每一次心跳加速的冒险。真相与危机交织，小恐龙能否力挽狂澜，揭露一切，守护家园的安宁？悬念迭起，不容错过！,https://p0.pipi.cn/basicdata/54ecdedd51b51b0faf06d66c6ad60775ebff5.jpg?imageView2/1/w/464/h/644
三叉戟,剧情 犯罪,高群书,黄志忠 姜武 郭涛 欧豪,2024-05-24,大尺度硬核犯罪大片《三叉戟》，聚焦警界传奇“三叉戟”组合——“大背头”崔铁军（黄志忠 饰）、“大棍子”徐国柱（姜武 饰）、“大喷子”潘江海（郭涛 饰）。三位警界老炮在临近退休之际，意外卷入一场惊心动魄的巨额金融大案！ 幕后黑手企图解冻数十亿资产，不惜雇佣黑道势力动用极端手段进行洗钱。一切的背后隐藏着更为错综复杂的罪恶网络与人脉关系。面对对手的诱惑与重重困难，“三叉戟”能否坚定信念，携手破获此案，将罪犯绳之以法？,https://p0.pipi.cn/mmdb/54ecde875bfc69b8608ea31a9b83be21951a1.jpg?imageView2/1/w/464/h/644
异教徒,惊悚 恐怖,斯科特·贝克,休·格兰特 索菲·撒切尔 克洛伊·伊斯特,2024-11-15,两名年轻女传教士误敲邪灵信徒里德的家门，被诱入宅内参与血腥仪式。里德以“考验信仰”为名，逼迫她们在迷宫般的房间完成自相残杀的任务。当一人为救同伴坠入陷阱时，幸存者发现所有被害者皆为过往传教士。结尾被困者举起十字架刺向里德，却见恶魔从自己伤口涌出——真正的试炼，是直面内心潜伏的黑暗信仰。,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3343d9a1ea482bf9fd124bf4136bd0dd8b.jpg?imageView2/1/w/464/h/644
西游记真假美猴王,动画 剧情 奇幻,赵霁,六小龄童 马德华,,五百年前，毛猴被救，逐渐长成孙悟空拜唐僧为师。师徒四人取经一行路过神树岭，六耳猕猴成为师徒间的阻碍，经过鏖战后，善终胜恶。,https://p0.pipi.cn/mmdb/54ecdebe02fddd67cb0faf052caf1f5586fc5.jpg?imageView2/1/w/464/h/644
画江湖之不良人：玄冥教,武侠,,,,江湖人称“得之可得天下”的龙泉宝剑现世于青城山，不良人安插在玄冥教中的卧底石瑶奉命前往夺剑，途中危机四伏，邪恶的阴影笼罩着江湖上下。石瑶最终守住了信仰和天下众生的太平，正义的曙光再临大地,https://p0.pipi.cn/mmdb/25bfd6d75bf80750c8e5bc297bc84c5d7058b.jpg?imageView2/1/w/464/h/644
风声,惊悚 剧情 犯罪,高群书,周迅 李冰冰 张涵予,2009-09-29,"1940年春，原中国国民党副主席汪精卫与日本政府媾和，在南京成立新的""国民政府""。自此，对日抗战进入新的""三国""时期。汪精卫的南京国民政府，蒋介石的重庆国民政府，毛泽东领导的陕甘宁边区政府势成三足鼎立，各自为政，互为掣肘。汪精卫上任后展开三大政策，同时诱招失意蒋派军政要员入阁。1942年10月10日，在汪伪政府举办庆祝国民政府成立三十周年的盛大仪式上，一名汪伪政府的要员被枪杀。这件事引起了日本方面的高度重视。日军特务机关长武田怀疑这一系列暗杀行动是北平地区共产党领导人 老鬼策划的，希望通过清查彻底破获他的组织。武田调查到负责发送指令的老鬼就潜伏在剿匪司令部内，于是将最有可能接触到电报的五个嫌疑人带到了封闭的裘庄。伪军剿匪大队长 吴志国、伪军剿匪总队司令侍从官 白小年、伪军剿匪司令部译电组组长 李宁玉、伪军剿匪司令部行政收发专员 顾晓梦、伪军剿匪总队军机处处长 金生火。调查的期限只有五天，武田必须采取各种手段甚至残忍的酷刑才能找出老鬼。被软禁的五个人为了保全自己，也在处心积虑的观察着周围其余四人，都希望尽快把老鬼揪出来以便自己能够安全地离开裘庄 。",https://p0.pipi.cn/mmdb/d2dad592c7e7e1b535e7aa2837cfece8f0e06.jpg?imageView2/1/w/464/h/644
诺斯费拉图,悬疑 恐怖 奇幻,罗伯特·艾格斯,安雅·泰勒-乔伊 莉莉-罗丝·德普 尼古拉斯·霍尔特 比尔·斯卡斯加德,2024-12-25,19世纪的德国，年轻女子艾伦・亨特被鬼魂纠缠，生活陷入黑暗。神秘吸血鬼伯爵却对她极度迷恋，这份痴迷逐渐演变成难以言喻的恐怖。随着两人关系的发展，阴森的哥特城堡、黑森林与墓地，处处弥漫着压抑绝望的气息。,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3343d9a1ea48d3ed8a19cf5466ef1076b6.jpg?imageView2/1/w/464/h/644
尼罗河上的惨案,犯罪 剧情 悬疑,肯尼思·布拉纳,汤姆·巴特曼 安妮特·贝宁 肯尼思·布拉纳 拉塞尔·布兰德,2022-02-19,1937年，家财万贯的富家女琳内特 （ 盖尔·加朵 饰）从闺蜜杰奎琳 （ 艾玛·麦肯 饰）手中抢走了男友西蒙 （ 艾米·汉莫 饰），两人很快就步入了婚姻殿堂，并且远赴埃及度蜜月。他们包下一艘游轮，邀请亲朋好友畅游尼罗河。杰奎琳耿耿于怀，始终尾随这对新人。一个夜晚，琳内特被人枪杀在船上的卧室之中。而在侦探波洛 （ 肯尼思·布拉纳 饰）破案的过程中，又有人神秘死去 。,https://p0.pipi.cn/mmdb/25bfd6be5bf338338f339e7c91d016eba8d6b.jpg?imageView2/1/w/464/h/644
蜘蛛侠：平行宇宙,动画 动作 科幻,鲍勃·佩尔西凯蒂,沙梅克·摩尔 彭昱畅 杰克·M·约翰森,2018-12-21,迈尔斯·莫拉莱斯 （ 沙梅克·摩尔 配）的生活因为一次意外变得复杂。他被一只放射性蜘蛛咬伤，并因此获得了毒液冲击、伪装隐藏、蜘蛛爬行、超凡听力、蜘蛛感应等一系列超能力。与此同时，这座城市里最臭名昭著的犯罪头目金并 （ 列维·施瑞博尔 配）已经建立起一台高度隐秘的超级对撞机，这台对撞机开启了通往其他宇宙的时空通道，来自其他宇宙、不同版本的蜘蛛侠也来到了迈尔斯所在的世界。迈尔斯和从其它平行宇宙中穿越而来的蜘蛛侠彼得·B·帕克 （ 杰克·M·约翰森 配）、女蜘蛛侠格温·史黛西 （ 海莉·斯坦菲尔德 配）、暗影蜘蛛侠 （ 尼古拉斯·凯奇 配）、日系少女蜘蛛侠潘妮·帕克 （ 贵美子·格伦 配）和蜘猪侠 （ 约翰·木兰尼 配）六位蜘蛛侠首次集结成团，共同对抗蜘蛛侠宇宙最强反派 。,https://p0.pipi.cn/mmdb/d2dad592537923b860ecd8f6267d3fd221d05.jpg?imageView2/1/w/464/h/644
奇迹少女,动画 奇幻 青春 冒险,杰里米·扎格,克里斯蒂娜·瓦伦苏埃拉 布赖斯·帕彭布鲁克 泽诺·罗宾逊 西拉·维克多,2023-08-18,怯懦又富有正义感的少女马丽娜获得“ 米可幻奇”的力量成为新手英雄“奇迹少女”，并在抗击罪恶中结识另外一位英雄“黑猫罗尔”。两人并肩作战一起共同成长并守护世界和平。2023年7月28日，该片发布定档预告和海报，正式宣布8月18日全国上映 ；8月11日，该片开启预售并同步上线由吉克隽逸演唱的主题曲MV 。8月16日，该片发布终极海报及终极预告 ，并在北京举行动画电影《奇迹少女》中国首映礼 。8月18日，该片在在中国公映。2023年8月23日，据猫眼专业版数据，电影《奇迹少女》上映6天 ，总票房破1000万。,https://p0.pipi.cn/mmdb/fb738633339c7ed23c8d33285e0ae1daa857d.png?imageView2/1/w/464/h/644
心灵奇旅,动画 喜剧 冒险,彼特·道格特,杰米·福克斯 蒂娜·菲 菲利西亚·拉斯海德,2020-12-25,热爱爵士乐的中学音乐教师乔伊·高纳 （ 杰米·福克斯 配）不懈地追逐梦想，最终获得梦寐以求的登台演奏机会。可因为一次意外事故，乔伊的肉体几近死亡，而灵魂却误入了一个人类经验之外的奇幻之境——“生之来处”。原来，“生之来处”是所有灵魂先于地球之前而存在的独特空间。在这里，人类的自我意识在生命诞生之前先在地被赋予，每个灵魂只有觅得自身的“火花”，才能投身于地球。也是在这里，决心重返地球的乔伊遇见了一个孤僻、早熟而厌世的灵魂“22” （ 蒂娜·菲 配），后者由于迟迟未能找寻到自身的“火花”，而长时间游荡停留于此。一次阴差阳错的经历，乔伊和“22”的命运互相牵连，两人重返地球，共同体验了一段诡谲而奇妙的生命旅程，并开始重构自身存在的价值与意义 。,https://p0.pipi.cn/mmdb/d2dad59206dc69e19b7e12d3d395c0b36f1a9.jpg?imageView2/1/w/464/h/644
